ID,Year,City,Country
1,1896,Athens,Greece
2,1900,Paris,France
3,1904,St Louis,United States
4,1908,London,United Kingdom
5,1912,Stockholm,Sweeden
6,1920,Antwerp,Belgium
7,1924,Paris,France
8,1928,Amsterdam,Netherlands
9,1932,Los Angeles,United States
10,1936,Berlin,Germany
11,1948,London,United Kingdom
12,1952,Helsinki,Finland
13,1956,Melbourne,Australia
14,1960,Rome,Italy
15,1964,Tokyo,Japan
16,1968,Mexico,Mexico
17,1972,Munich,Germany
18,1976,Montreal,Canada
19,1980,Moscow,Russia
20,1984,Los Angeles,United States
21,1988,Seoul,"Korea, South"
22,1992,Barcelona,Spain
23,1996,Atlanta,United States
24,2000,Sydney,Australia
25,2004,Athens,Greece
26,2008,Beijing,China
27,2012,London,United Kingdom
