Country_Code,Country,Continent,GDP_Per_Capita,Population,Bronze_1,Gold_1,Silver_1,Bronze_2,Gold_2,Silver_2,Bronze_3,Gold_3,Silver_3,Bronze_4,Gold_4,Silver_4,Bronze_5,Gold_5,Silver_5,Bronze_6,Gold_6,Silver_6,Bronze_7,Gold_7,Silver_7,Bronze_8,Gold_8,Silver_8,Bronze_9,Gold_9,Silver_9,Bronze_10,Gold_10,Silver_10,Bronze_11,Gold_11,Silver_11,Bronze_12,Gold_12,Silver_12,Bronze_13,Gold_13,Silver_13,Bronze_14,Gold_14,Silver_14,Bronze_15,Gold_15,Silver_15,Bronze_16,Gold_16,Silver_16,Bronze_17,Gold_17,Silver_17,Bronze_18,Gold_18,Silver_18,Bronze_19,Gold_19,Silver_19,Bronze_20,Gold_20,Silver_20,Bronze_21,Gold_21,Silver_21,Bronze_22,Gold_22,Silver_22
AUS,Australia,Oceania,56311,23 781 169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,1,,,,2,,1,1,,,2,1,1,,2
AUT,Austria,Europe,43775,8 611 088,,3,1,2,,4,,1,1,2,1,2,4,1,3,2,2,4,4,5,3,3,1,2,3,5,9,4,3,8,2,1,2,3,2,2,3,3,2,1,,,4,3,5,10,9,10,7,2,3,12,3,5,13,3,4,7,16,7,6,11,9,11,4,12
BEL,Belgium,Europe,40324,11 285 721,5,,,1,,,,,,,,,,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
BLR,Belarus,Europe,5740,9 513 000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,1,,,,,1,1,1,1,1,5,
BUL,Bulgaria,Europe,6993,7 177 991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,2,,1,,,1,,,,,,
CAN,Canada,North America,43249,35 851 774,,9,,,12,,5,14,1,,,13,2,18,,1,16,,18,,2,1,3,17,1,4,2,18,1,1,,,1,1,1,1,1,,1,1,2,1,4,,2,3,5,29,5,3,32,7,14,28,15,53,7,11,29,28,8,68,15,5,63,22
CHN,China,Asia,8028,1 371 220 000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,,1,5,,9,9,2,5,6,2,5,8,9,3,6,3,4
CRO,Croatia,Europe,11536,4 224 404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,,1,2,1,,2,,,1
CZE,Czech Republic,Europe,17548,10 551 219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,22,1,,1,2,25,1,2,7,2,,2,2,7
DEN,Denmark,Europe,51989,5 676 002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,
ESP,Spain,Europe,25832,46 418 269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
EST,Estonia,Europe,17119,1 311 998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,3,,,,1,,,
FIN,Finland,Europe,42311,5 482 013,3,4,8,1,2,1,1,1,1,3,4,2,2,1,6,2,6,4,1,5,6,5,5,3,5,3,7,5,1,2,1,,9,1,5,10,6,1,5,12,4,3,5,7,22,6,6,1,30,,1,50,2,7,1,7,5,7,,36,49,,1,25,2,7
FRA,France,Europe,36206,66 808 385,12,,,,2,,,2,,1,,,2,2,1,1,,,,,,2,1,,,3,4,2,4,3,2,,1,1,,,1,,,2,,1,1,1,,1,5,6,10,,1,12,2,1,5,5,5,10,3,2,6,2,6,10,4,4
