ID,Year,City,Country
1,1924,Chamonix,France
2,1928,St.Moritz,Switzerland
3,1932,Lake Placid,United States
4,1936,Garmisch Partenkirchen,Germany
5,1948,St.Moritz,Switzerland
6,1952,Oslo,Norway
7,1956,Cortina d'Ampezzo,Italy
8,1960,Squaw Valley,United States
9,1964,Innsbruck,Austria
10,1968,Grenoble,France
11,1972,Sapporo,Japan
12,1976,Innsbruck,Austria
13,1980,Lake Placid,United States
14,1984,Sarajevo,Bosnia and Herzegovina
15,1988,Calgary,Canada
16,1992,Albertville,France
17,1994,Lillehammer,Norway
18,1998,Nagano,Japan
19,2002,Salt Lake City,United States
20,2006,Turin,Italy
21,2010,Vancouver,Canada
22,2014,Sochi,Russia
